,Type_of_play_places
In my house;In my garden,169
In my garden,35
In my house;In my garden;In the woods near my house,24
In my house;In my garden;On a local grassy area,22
In my house;In my garden;On a local grassy area;On a football field near my house,21
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers",20
In my house;In my garden;On the bike or skate park,20
In my house;In my garden;In the street,20
In my house;In my garden;On a football field near my house,19
In my house;In my garden;In my school playground,16
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house",15
"In my house;In my garden;In a place with bushes, trees and flowers",13
In my house;In my garden;In the street;On a local grassy area,12
In my house,11
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house",11
In my house;In my garden;On a local grassy area;In the woods near my house;On a football field near my house,10
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house",10
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers",10
In my house;In my garden;Somewhere with water or sand in it,9
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;On a football field near my house,9
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house",9
In my house;In my garden;On a local grassy area;In the woods near my house,9
In my house;In my garden;On a local grassy area;In my school playground,8
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house",8
In my house;In my garden;In the woods near my house;On the bike or skate park,8
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it",7
"In my house;In my garden;In the street;In a place with bushes, trees and flowers",6
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it",6
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On the bike or skate park",6
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Somewhere with water or sand in it",6
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house",6
"In my house;In my garden;In a place with bushes, trees and flowers;On the bike or skate park",6
In my house;In my garden;In the street;In the woods near my house,5
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house",5
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On the bike or skate park",5
In my house;In my garden;In the street;In my school playground,5
In my garden;On a local grassy area,5
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park",5
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On the bike or skate park",5
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;In the woods near my house",4
In my house;In my garden;On a football field near my house;On the bike or skate park,4
"In my house;In my garden;In a place with bushes, trees and flowers;Somewhere with water or sand in it",4
In my house;In my garden;In the street;On the bike or skate park,4
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;In my school playground;Somewhere with water or sand in it",4
In my house;In my garden;In my school playground;On the bike or skate park,3
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In my school playground;Somewhere with water or sand in it",3
In my garden;In my school playground,3
In my house;In my garden;On a football field near my house;In my school playground,3
In my garden;On a football field near my house,3
In my house;In my garden;Park,3
In my house;In my garden;On a local grassy area;On the bike or skate park,3
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;Somewhere with water or sand in it",3
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;In my school playground",3
In my house;In my garden;On a local grassy area;On a football field near my house;On the bike or skate park,3
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;Somewhere with water or sand in it;On the bike or skate park",3
In my house;In my garden;In the woods near my house;Somewhere with water or sand in it,3
In my house;In my garden;In the street;On a local grassy area;On the bike or skate park,3
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park",3
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;On the bike or skate park",3
In my house;In my garden;In the woods near my house;On a football field near my house,3
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;On the bike or skate park",3
"In my house;In my garden;In a place with bushes, trees and flowers;In my school playground;On the bike or skate park",3
In my house;In my garden;In the street;In the woods near my house;On a football field near my house,3
In my garden;On the bike or skate park,3
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park",3
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it",2
In my house;In my garden;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park,2
In my garden;In the woods near my house,2
In my house;In my garden;In the street;On a local grassy area;In my school playground,2
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it",2
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Somewhere with water or sand in it;On the bike or skate park",2
In my house;In my garden;In the street;On a local grassy area;On a football field near my house;In my school playground;On the bike or skate park,2
In my house;In my garden;In the street;On a football field near my house,2
In my house;In my garden;In the street;On a local grassy area;On a football field near my house;In my school playground,2
In my house;In my garden;In the street;In the woods near my house;On the bike or skate park,2
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park,2
In my house;In my garden;On a local grassy area;In the woods near my house;Somewhere with water or sand in it,2
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;Somewhere with water or sand in it;On the bike or skate park",2
In my house;In my garden;In the woods near my house;On a football field near my house;In my school playground;On the bike or skate park,2
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground",2
In my house;In my garden;On a local grassy area;In my school playground;On the bike or skate park,2
In my house;In my garden;In the street;On a local grassy area;In my school playground;On the bike or skate park,2
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;Somewhere with water or sand in it;On the bike or skate park",2
In my house;In my garden;In the street;On a local grassy area;On a football field near my house,2
In my house;In my garden;In the street;In my school playground;On the bike or skate park,2
In my house;In my garden;In the street;On a local grassy area;In the woods near my house,2
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park",2
"In my garden;On a local grassy area;In a place with bushes, trees and flowers;Somewhere with water or sand in it",2
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house",2
In my house;In my garden;In the street;In the woods near my house;On a football field near my house;On the bike or skate park,2
In my house;In my garden;On a local grassy area;In the woods near my house;On a football field near my house;On the bike or skate park,2
In my house;In my garden;On a local grassy area;In the woods near my house;On the bike or skate park,2
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Somewhere with water or sand in it",2
In my house;In my garden;On a local grassy area;On a football field near my house;In my school playground,2
In my house;In my garden;In the street;On a football field near my house;On the bike or skate park,2
In my house;In my garden;On a local grassy area;Somewhere with water or sand in it;On the bike or skate park,2
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On the bike or skate park",2
In my house;In my garden;On a local grassy area;Park,2
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;On the bike or skate park",2
In my house;In my garden;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park,2
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Somewhere with water or sand in it;On the bike or skate park",2
In my house;In my garden;On a local grassy area;In my school playground;Somewhere with water or sand in it,2
In my house;In my garden;In the street;On a football field near my house;In my school playground;On the bike or skate park,2
In my garden;On a local grassy area;On a football field near my house,2
In my garden;Dad's yard ,2
In my house;On a football field near my house,2
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park",2
On a local grassy area,2
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;In my school playground",2
In my house;In my garden;On a football field near my house;Somewhere with water or sand in it,1
In my garden;On the bike or skate park;In the field ,1
In my house;In my garden;On a local grassy area;In the woods near my house;On a football field near my house;In my school playground,1
In my house;In my garden;In my school playground;Rugby we have a play around before practice,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;Down by the river",1
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;In my school playground",1
In my house;In my garden;In the street;On a local grassy area;On a football field near my house;In my school playground;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;In the street;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;On a local grassy area;Cycle track ,1
In my house;In my garden;On a local grassy area;On a football field near my house;In my school playground;Tennis court ,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;By the horses ",1
"In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;In my school playground",1
"In my house;In my garden;In a place with bushes, trees and flowers;In my school playground",1
In my garden;field,1
"In my house;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house",1
In the street,1
In my garden;On a football field near my house;On the bike or skate park,1
In my house;In my garden;In the street;In my school playground;Somewhere with water or sand in it,1
In my house;In my garden;On a local grassy area;Dance when open,1
In my house;On a football field near my house;In my school playground,1
In my house;In my garden;In my school playground;On the bike or skate park;When we walk our dog ,1
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;On a football field near my house;In my school playground;Somewhere with water or sand in it,1
"In my house;In my garden;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;On the bike or skate park",1
In my house;In my garden;The beach,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;Up the mountain and round the reservoir.",1
In my house;In my garden;On a local grassy area;In the woods near my house;Somewhere with water or sand in it;On the bike or skate park,1
In my garden;In the woods near my house;On the bike or skate park,1
In my garden;On a local grassy area;On a football field near my house;On the bike or skate park,1
In my house;In my garden;In the street;When we walk our dog ,1
In my house;In my garden;In the woods near my house;beach,1
In my house;Basket ball in house ,1
"In my house;In my garden;In a place with bushes, trees and flowers;Somewhere with water or sand in it;On the bike or skate park",1
"In my house;In my garden;In the street;In a place with bushes, trees and flowers;Along the riverfront ",1
"In the street;In a place with bushes, trees and flowers;In the woods near my house",1
In my house;In my garden;In the street;On a local grassy area;On a football field near my house;On the bike or skate park,1
In my house;In my garden;In my room,1
In my garden;In the street;On a local grassy area,1
In the street;around where i live,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;Somewhere with water or sand in it",1
In my house;In my garden;When we go on walks we explore the woods,1
"In my house;In my garden;In a place with bushes, trees and flowers;On a football field near my house",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;Horse yard",1
"In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;On the bike or skate park",1
In my house;In my garden;In the street;On a local grassy area;In my school playground;Somewhere with water or sand in it;On the bike or skate park,1
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;In my school playground;On the bike or skate park,1
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;On a football field near my house;On the bike or skate park,1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;Somewhere with water or sand in it;Riding in the lanes",1
"In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;On the bike or skate park",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;On a football field near my house;Somewhere with water or sand in it;On the bike or skate park;Golf",1
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;On the bike or skate park,1
On the bike or skate park,1
In my house;In my garden;In my room ,1
Out the front of my house,1
"On a local grassy area;In a place with bushes, trees and flowers",1
In my garden;In the street;On a football field near my house,1
In my house;On a local grassy area,1
In my garden;In the street;In the woods near my house;Somewhere with water or sand in it,1
In my house;In my garden;In the woods near my house;Bike ride,1
In my house;In my garden;In the street;Golf course,1
In my house;In my garden;In the street;On a local grassy area;In the woods near my house;On a football field near my house;Somewhere with water or sand in it,1
In my house;In my school playground,1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;In my school playground;Somewhere with water or sand in it",1
"In my house;In my garden;On a local grassy area;In a place with bushes, trees and flowers;In the woods near my house;On a football field near my house;In my school playground;On the bike or skate park",1
"In my house;In my garden;In the street;On a local grassy area;In a place with bushes, trees and flowers;Canal ",1
In my garden;Field,1
